election,state,federalist,anti_federalist,democratic_republican,democratic,national_republican,whig,republican,third_party,NOTE
1788,Connecticut,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1788,Delaware,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1788,Georgia,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1788,Maryland,0.7709,0.2291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1788,Massachusetts,0.9714,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1788,New Hampshire,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1788,New Jersey,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1788,Pennsylvania,0.9090,0.0910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1788,South Carolina,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1788,Virginia,0.8798,0.1202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1792,Connecticut,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1792,Delaware,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1792,Georgia,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1792,Kentucky,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No ballot data.
1792,Maryland,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1792,Massachusetts,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1792,New Hampshire,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1792,New Jersey,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1792,New York,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1792,North Carolina,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1792,Pennsylvania,0.9333,0.0000,0.0667,0.0000,0.0000,0.0000,0.0000,0.0000,Based on electoral votes for vice president.
1792,Rhode Island,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1792,South Carolina,0.8750,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,Based on electoral votes for vice president.
1792,Vermont,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1792,Virginia,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No ballot data.
1796,Connecticut,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1796,Delaware,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1796,Georgia,0.2990,0.0000,0.7010,0.0000,0.0000,0.0000,0.0000,0.0000,
1796,Kentucky,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No ballot data.
1796,Maryland,0.5200,0.0000,0.4800,0.0000,0.0000,0.0000,0.0000,0.0000,
1796,Massachusetts,0.8240,0.0000,0.1760,0.0000,0.0000,0.0000,0.0000,0.0000,
1796,New Hampshire,0.8450,0.0000,0.1550,0.0000,0.0000,0.0000,0.0000,0.0000,
1796,New Jersey,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1796,New York,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1796,North Carolina,0.2917,0.0000,0.7083,0.0000,0.0000,0.0000,0.0000,0.0000,No ballot data. Tally based on electoral votes for candidates by party.
1796,Pennsylvania,0.4980,0.0000,0.5020,0.0000,0.0000,0.0000,0.0000,0.0000,
1796,Rhode Island,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1796,South Carolina,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1796,Tennessee,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1796,Vermont,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1796,Virginia,0.3280,0.0000,0.6720,0.0000,0.0000,0.0000,0.0000,0.0000,
1800,Connecticut,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,Delaware,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,Georgia,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,Kentucky,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1800,Maryland,0.4860,0.0000,0.5135,0.0000,0.0000,0.0000,0.0000,0.0005,
1800,Massachusetts,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,New Hampshire,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,New Jersey,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,New York,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,North Carolina,0.4873,0.0000,0.5127,0.0000,0.0000,0.0000,0.0000,0.0000,
1800,Pennsylvania,0.3548,0.0000,0.6452,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,Rhode Island,0.5215,0.0000,0.4785,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,South Carolina,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No ballot data.
1800,Tennessee,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1800,Vermont,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1800,Virginia,0.2272,0.0000,0.7728,0.0000,0.0000,0.0000,0.0000,0.0000,
1804,Connecticut,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1804,Delaware,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
1804,Georgia,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"No popular vote. Instead, vote by state legislature."
